"Year","State","Visa_Type","Visa_Stream","Arrival","Departure","Net"
2014,"QLD","Temporary","Skilled",4540,3880,660
2014,"QLD","Temporary","Working_Holiday",11200,6670,4530
2014,"QLD","Temporary","Visitors",7640,2130,5510
2014,"QLD","Temporary","Others",1140,3880,-2740
2014,"QLD","Temporary","Total",42090,25000,17090
2015,"QLD","Temporary","Student",18770,7810,10960
2015,"QLD","Temporary","Skilled",3980,3000,980
2015,"QLD","Temporary","Working_Holiday",10710,6330,4380
2015,"QLD","Temporary","Visitors",9120,3200,5920
2015,"QLD","Temporary","Others",1190,4220,-3030
2015,"QLD","Temporary","Total",43770,24560,19210
2016,"QLD","Temporary","Student",21310,8190,13120
2016,"QLD","Temporary","Skilled",4210,2120,2090
2016,"QLD","Temporary","Working_Holiday",10320,6030,4290
2016,"QLD","Temporary","Visitors",10490,3110,7380
2016,"QLD","Temporary","Others",1420,3540,-2120
2016,"QLD","Temporary","Total",47750,22990,24760
2017,"QLD","Temporary","Student",21950,9520,12430
2017,"QLD","Temporary","Skilled",3330,1870,1460
2017,"QLD","Temporary","Working_Holiday",10550,5270,5280
2017,"QLD","Temporary","Visitors",10500,3910,6590
2017,"QLD","Temporary","Others",1880,4330,-2450
2017,"QLD","Temporary","Total",48210,24900,23310
2018,"QLD","Temporary","Student",24180,11060,13120
2018,"QLD","Temporary","Skilled",4230,1920,2310
2018,"QLD","Temporary","Working_Holiday",10210,5880,4330
2018,"QLD","Temporary","Visitors",12840,5070,7770
2018,"QLD","Temporary","Others",1870,4920,-3050
2018,"QLD","Temporary","Total",53330,28850,24480
2019,"QLD","Temporary","Student",17220,15360,1860
2019,"QLD","Temporary","Skilled",3390,1400,1990
2019,"QLD","Temporary","Working_Holiday",8370,5860,2510
2019,"QLD","Temporary","Visitors",16420,3020,13400
2019,"QLD","Temporary","Others",3170,5370,-2200
2019,"QLD","Temporary","Total",48570,31010,17560
2020,"QLD","Temporary","Student",280,8710,-8430
2020,"QLD","Temporary","Skilled",1320,1220,100
2020,"QLD","Temporary","Working_Holiday",180,1960,-1780
2020,"QLD","Temporary","Visitors",1160,2060,-900
2020,"QLD","Temporary","Others",2430,6420,-3990
2020,"QLD","Temporary","Total",5370,20370,-15000
2021,"QLD","Temporary","Student",17070,4640,12430
2021,"QLD","Temporary","Skilled",3320,1020,2300
2021,"QLD","Temporary","Working_Holiday",4110,1020,3090
2021,"QLD","Temporary","Visitors",6760,2200,4560
2021,"QLD","Temporary","Others",6160,5710,450
2021,"QLD","Temporary","Total",37420,14590,22830
2022,"QLD","Temporary","Student",43620,2610,41010
2022,"QLD","Temporary","Skilled",7250,760,6490
2022,"QLD","Temporary","Working_Holiday",14740,660,14080
2022,"QLD","Temporary","Visitors",14840,2980,11860
2022,"QLD","Temporary","Others",8750,5670,3080
