"Year","State","Visa_Type","Visa_Stream","Arrival","Departure","Net"
2020,"TAS","Temporary","Others",620,520,100
2020,"TAS","Temporary","Total",790,1200,-410
2021,"TAS","Temporary","Student",1320,200,1120
2021,"TAS","Temporary","Skilled",210,30,180
2021,"TAS","Temporary","Working_Holiday",140,50,90
2021,"TAS","Temporary","Visitors",460,150,310
2021,"TAS","Temporary","Others",1470,440,1030
2021,"TAS","Temporary","Total",3600,870,2730
2022,"TAS","Temporary","Student",2000,130,1870
2022,"TAS","Temporary","Skilled",390,20,370
2022,"TAS","Temporary","Working_Holiday",600,30,570
2022,"TAS","Temporary","Visitors",890,160,730
2022,"TAS","Temporary","Others",1270,780,490
2022,"TAS","Temporary","Total",5150,1120,4030
2023,"TAS","Temporary","Student",1520,160,1360
2023,"TAS","Temporary","Skilled",400,30,370
2023,"TAS","Temporary","Working_Holiday",520,90,430
2023,"TAS","Temporary","Visitors",780,190,590
2023,"TAS","Temporary","Others",840,730,110
2023,"TAS","Temporary","Total",4060,1200,2860
2014,"NT","Temporary","Student",580,130,450
2014,"NT","Temporary","Skilled",620,370,250
2014,"NT","Temporary","Working_Holiday",1180,1020,160
2014,"NT","Temporary","Visitors",600,210,390
2014,"NT","Temporary","Others",180,470,-290
2014,"NT","Temporary","Total",3160,2200,960
2015,"NT","Temporary","Student",650,130,520
2015,"NT","Temporary","Skilled",550,290,260
2015,"NT","Temporary","Working_Holiday",1040,840,200
2015,"NT","Temporary","Visitors",650,240,410
2015,"NT","Temporary","Others",230,440,-210
2015,"NT","Temporary","Total",3120,1940,1180
2016,"NT","Temporary","Student",620,170,450
2016,"NT","Temporary","Skilled",560,310,250
2016,"NT","Temporary","Working_Holiday",980,700,280
2016,"NT","Temporary","Visitors",710,400,310
2016,"NT","Temporary","Others",210,590,-380
2016,"NT","Temporary","Total",3080,2170,910
2017,"NT","Temporary","Student",440,120,320
2017,"NT","Temporary","Skilled",370,480,-110
2017,"NT","Temporary","Working_Holiday",890,530,360
2017,"NT","Temporary","Visitors",640,190,450
2017,"NT","Temporary","Others",200,400,-200
2017,"NT","Temporary","Total",2540,1720,820
2018,"NT","Temporary","Student",550,120,430
2018,"NT","Temporary","Skilled",310,350,-40
2018,"NT","Temporary","Working_Holiday",880,500,380
2018,"NT","Temporary","Visitors",930,220,710
2018,"NT","Temporary","Others",250,390,-140
2018,"NT","Temporary","Total",2920,1580,1340
2019,"NT","Temporary","Student",380,130,250
2019,"NT","Temporary","Skilled",180,150,30
2019,"NT","Temporary","Working_Holiday",480,470,10
2019,"NT","Temporary","Visitors",1060,150,910
2019,"NT","Temporary","Others",330,350,-20
2019,"NT","Temporary","Total",2430,1250,1180
2020,"NT","Temporary","Student",30,70,-40
2020,"NT","Temporary","Skilled",60,90,-30
2020,"NT","Temporary","Working_Holiday",10,140,-130
2020,"NT","Temporary","Visitors",70,110,-40
2020,"NT","Temporary","Others",390,410,-20
2020,"NT","Temporary","Total",560,820,-260
2021,"NT","Temporary","Student",630,70,560
2021,"NT","Temporary","Skilled",240,50,190
2021,"NT","Temporary","Working_Holiday",390,60,330
2021,"NT","Temporary","Visitors",420,180,240
2021,"NT","Temporary","Others",1560,520,1040
2021,"NT","Temporary","Total",3240,880,2360
2022,"NT","Temporary","Student",1580,40,1540
2022,"NT","Temporary","Skilled",430,40,390
2022,"NT","Temporary","Working_Holiday",1050,50,1000
2022,"NT","Temporary","Visitors",870,170,700
2022,"NT","Temporary","Others",870,520,350
2022,"NT","Temporary","Total",4800,820,3980
2023,"NT","Temporary","Student",1120,60,1060
2023,"NT","Temporary","Skilled",570,50,520
2023,"NT","Temporary","Working_Holiday",840,160,680
2023,"NT","Temporary","Visitors",680,170,510
2023,"NT","Temporary","Others",560,370,190
2023,"NT","Temporary","Total",3770,810,2960
2014,"ACT","Temporary","Student",3320,1540,1780
2014,"ACT","Temporary","Skilled",580,260,320
2014,"ACT","Temporary","Working_Holiday",270,140,130
2014,"ACT","Temporary","Visitors",670,130,540
2014,"ACT","Temporary","Others",280,440,-160
2014,"ACT","Temporary","Total",5120,2510,2610
2015,"ACT","Temporary","Student",3410,1530,1880
2015,"ACT","Temporary","Skilled",450,190,260
2015,"ACT","Temporary","Working_Holiday",260,130,130
2015,"ACT","Temporary","Visitors",700,180,520
2015,"ACT","Temporary","Others",250,490,-240
2015,"ACT","Temporary","Total",5070,2520,2550
2016,"ACT","Temporary","Student",3960,1630,2330
2016,"ACT","Temporary","Skilled",550,220,330
2016,"ACT","Temporary","Working_Holiday",280,100,180
2016,"ACT","Temporary","Visitors",800,190,610
2016,"ACT","Temporary","Others",330,490,-160
2016,"ACT","Temporary","Total",5920,2630,3290
2017,"ACT","Temporary","Student",4350,1770,2580
2017,"ACT","Temporary","Skilled",380,210,170
2017,"ACT","Temporary","Working_Holiday",350,100,250
2017,"ACT","Temporary","Visitors",1120,280,840
2017,"ACT","Temporary","Others",470,620,-150
2017,"ACT","Temporary","Total",6670,2980,3690
2018,"ACT","Temporary","Student",3330,2380,950
2018,"ACT","Temporary","Skilled",480,180,300
2018,"ACT","Temporary","Working_Holiday",260,130,130
2018,"ACT","Temporary","Visitors",1350,410,940
2018,"ACT","Temporary","Others",410,750,-340
2018,"ACT","Temporary","Total",5830,3850,1980
2019,"ACT","Temporary","Student",2170,3270,-1100
2019,"ACT","Temporary","Skilled",350,150,200
2019,"ACT","Temporary","Working_Holiday",190,100,90
2019,"ACT","Temporary","Visitors",2190,290,1900
2019,"ACT","Temporary","Others",340,910,-570
2019,"ACT","Temporary","Total",5240,4720,520
2020,"ACT","Temporary","Student",70,1920,-1850
2020,"ACT","Temporary","Skilled",60,120,-60
2020,"ACT","Temporary","Working_Holiday",10,40,-30
2020,"ACT","Temporary","Visitors",120,350,-230
2020,"ACT","Temporary","Others",130,1070,-940
2020,"ACT","Temporary","Total",390,3500,-3110
2021,"ACT","Temporary","Student",3680,750,2930
2021,"ACT","Temporary","Skilled",230,110,120
2021,"ACT","Temporary","Working_Holiday",100,20,80
2021,"ACT","Temporary","Visitors",950,370,580
2021,"ACT","Temporary","Others",720,940,-220
2021,"ACT","Temporary","Total",5680,2190,3490
2022,"ACT","Temporary","Student",5980,600,5380
2022,"ACT","Temporary","Skilled",460,80,380
2022,"ACT","Temporary","Working_Holiday",260,10,250
2022,"ACT","Temporary","Visitors",1980,320,1660
2022,"ACT","Temporary","Others",1040,650,390
2022,"ACT","Temporary","Total",9720,1660,8060
2023,"ACT","Temporary","Student",4540,1100,3440
2023,"ACT","Temporary","Skilled",510,60,450
2023,"ACT","Temporary","Working_Holiday",290,40,250
2023,"ACT","Temporary","Visitors",1560,350,1210
2023,"ACT","Temporary","Others",800,620,180
2023,"ACT","Temporary","Total",7700,2170,5530
2014,"AUS","AUS_Citizen","AUS_Citizen",71680,27080,44600
2014,"AUS","NZ_Citizen","NZ_Citizen",31750,27080,4670
2015,"AUS","AUS_Citizen","AUS_Citizen",75800,27640,48160
2015,"AUS","NZ_Citizen","NZ_Citizen",33700,27640,6060
2016,"AUS","AUS_Citizen","AUS_Citizen",79280,25600,53680
2016,"AUS","NZ_Citizen","NZ_Citizen",32330,25600,6730
2017,"AUS","AUS_Citizen","AUS_Citizen",77160,22910,54250
2017,"AUS","NZ_Citizen","NZ_Citizen",30380,22910,7470
2018,"AUS","AUS_Citizen","AUS_Citizen",78900,22410,56490
2018,"AUS","NZ_Citizen","NZ_Citizen",30540,22410,8130
2019,"AUS","AUS_Citizen","AUS_Citizen",96410,20850,75560
2019,"AUS","NZ_Citizen","NZ_Citizen",22220,20850,1370
2020,"AUS","AUS_Citizen","AUS_Citizen",61370,19050,42320
2020,"AUS","NZ_Citizen","NZ_Citizen",16950,19050,-2100
2021,"AUS","AUS_Citizen","AUS_Citizen",62480,15230,47250
2021,"AUS","NZ_Citizen","NZ_Citizen",24120,15230,8890
2022,"AUS","AUS_Citizen","AUS_Citizen",58750,16390,42360
2022,"AUS","NZ_Citizen","NZ_Citizen",42660,16390,26270
2023,"AUS","AUS_Citizen","AUS_Citizen",60040,14130,45910
2023,"AUS","NZ_Citizen","NZ_Citizen",51100,14130,36970
2014,"NSW","AUS_Citizen","AUS_Citizen",25690,34220,-8530
2014,"NSW","NZ_Citizen","NZ_Citizen",7740,5740,2000
2015,"NSW","AUS_Citizen","AUS_Citizen",26460,34070,-7610
2015,"NSW","NZ_Citizen","NZ_Citizen",9230,5980,3250
2016,"NSW","AUS_Citizen","AUS_Citizen",27580,32320,-4740
2016,"NSW","NZ_Citizen","NZ_Citizen",8730,5620,3110
2017,"NSW","AUS_Citizen","AUS_Citizen",26370,32480,-6110
2017,"NSW","NZ_Citizen","NZ_Citizen",7300,5500,1800
2018,"NSW","AUS_Citizen","AUS_Citizen",27080,30350,-3270
2018,"NSW","NZ_Citizen","NZ_Citizen",7130,5450,1680
2019,"NSW","AUS_Citizen","AUS_Citizen",33840,21380,12460
2019,"NSW","NZ_Citizen","NZ_Citizen",5110,5070,40
2020,"NSW","AUS_Citizen","AUS_Citizen",31060,15590,15470
2020,"NSW","NZ_Citizen","NZ_Citizen",7460,4580,2880
2021,"NSW","AUS_Citizen","AUS_Citizen",23760,29740,-5980
2021,"NSW","NZ_Citizen","NZ_Citizen",5370,4680,690
2022,"NSW","AUS_Citizen","AUS_Citizen",20020,32790,-12770
2022,"NSW","NZ_Citizen","NZ_Citizen",8380,4540,3840
2023,"NSW","AUS_Citizen","AUS_Citizen",21230,29250,-8020
2023,"NSW","NZ_Citizen","NZ_Citizen",9780,3690,6090
2014,"VIC","AUS_Citizen","AUS_Citizen",18060,24110,-6050
2014,"VIC","NZ_Citizen","NZ_Citizen",8340,5050,3290
2015,"VIC","AUS_Citizen","AUS_Citizen",18990,23440,-4450
2015,"VIC","NZ_Citizen","NZ_Citizen",9360,5110,4250
2016,"VIC","AUS_Citizen","AUS_Citizen",20110,22190,-2080
2016,"VIC","NZ_Citizen","NZ_Citizen",9010,5120,3890
2017,"VIC","AUS_Citizen","AUS_Citizen",19990,21810,-1820
2017,"VIC","NZ_Citizen","NZ_Citizen",8710,4810,3900
2018,"VIC","AUS_Citizen","AUS_Citizen",19840,21470,-1630
2018,"VIC","NZ_Citizen","NZ_Citizen",8780,4930,3850
2019,"VIC","AUS_Citizen","AUS_Citizen",23150,15950,7200
2019,"VIC","NZ_Citizen","NZ_Citizen",6270,4900,1370
2020,"VIC","AUS_Citizen","AUS_Citizen",10360,12320,-1960
2020,"VIC","NZ_Citizen","NZ_Citizen",3310,5380,-2070
2021,"VIC","AUS_Citizen","AUS_Citizen",16170,20600,-4430
2021,"VIC","NZ_Citizen","NZ_Citizen",7050,3650,3400
2022,"VIC","AUS_Citizen","AUS_Citizen",15300,21690,-6390
2022,"VIC","NZ_Citizen","NZ_Citizen",12990,3720,9270
2023,"VIC","AUS_Citizen","AUS_Citizen",15450,22040,-6590
2023,"VIC","NZ_Citizen","NZ_Citizen",14200,3140,11060
2014,"QLD","AUS_Citizen","AUS_Citizen",13570,18760,-5190
2014,"QLD","NZ_Citizen","NZ_Citizen",9960,9600,360
2015,"QLD","AUS_Citizen","AUS_Citizen",14900,18730,-3830
2015,"QLD","NZ_Citizen","NZ_Citizen",10340,9520,820
2016,"QLD","AUS_Citizen","AUS_Citizen",15300,17510,-2210
2016,"QLD","NZ_Citizen","NZ_Citizen",10120,8390,1730
2017,"QLD","AUS_Citizen","AUS_Citizen",14900,16640,-1740
2017,"QLD","NZ_Citizen","NZ_Citizen",10040,7760,2280
2018,"QLD","AUS_Citizen","AUS_Citizen",15530,16620,-1090
2018,"QLD","NZ_Citizen","NZ_Citizen",10210,7660,2550
2019,"QLD","AUS_Citizen","AUS_Citizen",19250,11210,8040
2019,"QLD","NZ_Citizen","NZ_Citizen",7400,7140,260
2020,"QLD","AUS_Citizen","AUS_Citizen",9470,7210,2260
2020,"QLD","NZ_Citizen","NZ_Citizen",4140,5990,-1850
2021,"QLD","AUS_Citizen","AUS_Citizen",10800,12290,-1490
2021,"QLD","NZ_Citizen","NZ_Citizen",7770,4340,3430
2022,"QLD","AUS_Citizen","AUS_Citizen",11370,16690,-5320
2022,"QLD","NZ_Citizen","NZ_Citizen",13340,5370,7970
2023,"QLD","AUS_Citizen","AUS_Citizen",11520,15810,-4290
2023,"QLD","NZ_Citizen","NZ_Citizen",17660,4780,12880
2014,"SA","AUS_Citizen","AUS_Citizen",3270,4450,-1180
2014,"SA","NZ_Citizen","NZ_Citizen",520,490,30
2015,"SA","AUS_Citizen","AUS_Citizen",3370,4360,-990
2015,"SA","NZ_Citizen","NZ_Citizen",540,500,40
2016,"SA","AUS_Citizen","AUS_Citizen",3610,4160,-550
2016,"SA","NZ_Citizen","NZ_Citizen",540,460,80
2017,"SA","AUS_Citizen","AUS_Citizen",3620,4030,-410
2017,"SA","NZ_Citizen","NZ_Citizen",550,360,190
2018,"SA","AUS_Citizen","AUS_Citizen",3760,3780,-20
2018,"SA","NZ_Citizen","NZ_Citizen",550,420,130
2019,"SA","AUS_Citizen","AUS_Citizen",4690,2640,2050
2019,"SA","NZ_Citizen","NZ_Citizen",410,380,30
2020,"SA","AUS_Citizen","AUS_Citizen",2420,1750,670
2020,"SA","NZ_Citizen","NZ_Citizen",270,300,-30
2021,"SA","AUS_Citizen","AUS_Citizen",2640,3020,-380
2021,"SA","NZ_Citizen","NZ_Citizen",430,270,160
2022,"SA","AUS_Citizen","AUS_Citizen",2470,4050,-1580
2022,"SA","NZ_Citizen","NZ_Citizen",800,300,500
2023,"SA","AUS_Citizen","AUS_Citizen",2480,3870,-1390
2023,"SA","NZ_Citizen","NZ_Citizen",1000,270,730
2014,"WA","AUS_Citizen","AUS_Citizen",5420,11330,-5910
2014,"WA","NZ_Citizen","NZ_Citizen",4330,7410,-3080
2015,"WA","AUS_Citizen","AUS_Citizen",5800,11930,-6130
2015,"WA","NZ_Citizen","NZ_Citizen",3390,8120,-4730
2016,"WA","AUS_Citizen","AUS_Citizen",5200,11730,-6530
2016,"WA","NZ_Citizen","NZ_Citizen",2920,8770,-5850
2017,"WA","AUS_Citizen","AUS_Citizen",3830,10280,-6450
2017,"WA","NZ_Citizen","NZ_Citizen",2990,8340,-5350
2018,"WA","AUS_Citizen","AUS_Citizen",3380,9320,-5940
2018,"WA","NZ_Citizen","NZ_Citizen",3230,8740,-5510
2019,"WA","AUS_Citizen","AUS_Citizen",2810,6350,-3540
2019,"WA","NZ_Citizen","NZ_Citizen",2530,10860,-8330
2020,"WA","AUS_Citizen","AUS_Citizen",2330,4410,-2080
2020,"WA","NZ_Citizen","NZ_Citizen",1420,5570,-4150
2021,"WA","AUS_Citizen","AUS_Citizen",1870,7930,-6060
2021,"WA","NZ_Citizen","NZ_Citizen",3050,6120,-3070
2022,"WA","AUS_Citizen","AUS_Citizen",2020,9610,-7590
2022,"WA","NZ_Citizen","NZ_Citizen",6390,6840,-450
2023,"WA","AUS_Citizen","AUS_Citizen",1950,8980,-7030
2023,"WA","NZ_Citizen","NZ_Citizen",7370,6400,970
2014,"TAS","AUS_Citizen","AUS_Citizen",850,1080,-230
2014,"TAS","NZ_Citizen","NZ_Citizen",170,180,-10
2015,"TAS","AUS_Citizen","AUS_Citizen",810,920,-110
2015,"TAS","NZ_Citizen","NZ_Citizen",170,160,10
2016,"TAS","AUS_Citizen","AUS_Citizen",870,950,-80
2016,"TAS","NZ_Citizen","NZ_Citizen",170,140,30
2017,"TAS","AUS_Citizen","AUS_Citizen",880,900,-20
2017,"TAS","NZ_Citizen","NZ_Citizen",150,140,10
2018,"TAS","AUS_Citizen","AUS_Citizen",930,840,90
2018,"TAS","NZ_Citizen","NZ_Citizen",140,120,20
2019,"TAS","AUS_Citizen","AUS_Citizen",1210,500,710
2019,"TAS","NZ_Citizen","NZ_Citizen",140,110,30
2020,"TAS","AUS_Citizen","AUS_Citizen",480,410,70
2020,"TAS","NZ_Citizen","NZ_Citizen",70,90,-20
2021,"TAS","AUS_Citizen","AUS_Citizen",610,680,-70
2021,"TAS","NZ_Citizen","NZ_Citizen",140,100,40
2022,"TAS","AUS_Citizen","AUS_Citizen",650,920,-270
2022,"TAS","NZ_Citizen","NZ_Citizen",200,150,50
2023,"TAS","AUS_Citizen","AUS_Citizen",590,940,-350
2023,"TAS","NZ_Citizen","NZ_Citizen",290,90,200
2014,"NT","AUS_Citizen","AUS_Citizen",680,830,-150
2014,"NT","NZ_Citizen","NZ_Citizen",400,400,0
2015,"NT","AUS_Citizen","AUS_Citizen",700,920,-220
2015,"NT","NZ_Citizen","NZ_Citizen",370,410,-40
2016,"NT","AUS_Citizen","AUS_Citizen",660,880,-220
2016,"NT","NZ_Citizen","NZ_Citizen",500,450,50
2017,"NT","AUS_Citizen","AUS_Citizen",620,1000,-380
2017,"NT","NZ_Citizen","NZ_Citizen",320,330,-10
2018,"NT","AUS_Citizen","AUS_Citizen",600,970,-370
2018,"NT","NZ_Citizen","NZ_Citizen",270,270,0
2019,"NT","AUS_Citizen","AUS_Citizen",620,720,-100
2019,"NT","NZ_Citizen","NZ_Citizen",180,250,-70
2020,"NT","AUS_Citizen","AUS_Citizen",330,400,-70
2020,"NT","NZ_Citizen","NZ_Citizen",130,180,-50
2021,"NT","AUS_Citizen","AUS_Citizen",550,720,-170
2021,"NT","NZ_Citizen","NZ_Citizen",150,180,-30
2022,"NT","AUS_Citizen","AUS_Citizen",370,730,-360
2022,"NT","NZ_Citizen","NZ_Citizen",240,160,80
2023,"NT","AUS_Citizen","AUS_Citizen",380,730,-350
2023,"NT","NZ_Citizen","NZ_Citizen",400,110,290
2014,"ACT","AUS_Citizen","AUS_Citizen",2140,200,1940
2014,"ACT","NZ_Citizen","NZ_Citizen",290,200,90
2015,"ACT","AUS_Citizen","AUS_Citizen",2450,170,2280
2015,"ACT","NZ_Citizen","NZ_Citizen",300,170,130
2016,"ACT","AUS_Citizen","AUS_Citizen",2380,220,2160
2016,"ACT","NZ_Citizen","NZ_Citizen",340,220,120
2017,"ACT","AUS_Citizen","AUS_Citizen",2400,170,2230
2017,"ACT","NZ_Citizen","NZ_Citizen",320,170,150
2018,"ACT","AUS_Citizen","AUS_Citizen",2400,190,2210
2018,"ACT","NZ_Citizen","NZ_Citizen",230,190,40
2019,"ACT","AUS_Citizen","AUS_Citizen",2770,170,2600
2019,"ACT","NZ_Citizen","NZ_Citizen",180,170,10
2020,"ACT","AUS_Citizen","AUS_Citizen",1650,180,1470
2020,"ACT","NZ_Citizen","NZ_Citizen",150,180,-30
2021,"ACT","AUS_Citizen","AUS_Citizen",1810,150,1660
2021,"ACT","NZ_Citizen","NZ_Citizen",160,150,10
2022,"ACT","AUS_Citizen","AUS_Citizen",1700,120,1580
2022,"ACT","NZ_Citizen","NZ_Citizen",320,120,200
2023,"ACT","AUS_Citizen","AUS_Citizen",1970,90,1880
2023,"ACT","NZ_Citizen","NZ_Citizen",390,90,300
