"country_of_birth","Year","Count","State","share"
"Nepal",2019,2490,"VIC",5.11
"UK, CIs & IOM",2019,2300,"VIC",4.72
"Pakistan",2019,1880,"VIC",3.85
"Iraq",2019,1720,"VIC",3.53
"Colombia",2019,1490,"VIC",3.06
"Afghanistan",2020,470,"VIC",36.72
"Iran",2020,170,"VIC",13.28
"Samoa",2020,130,"VIC",10.16
"Lebanon",2020,120,"VIC",9.38
"Vanuatu",2020,100,"VIC",7.81
"South Africa",2020,100,"VIC",7.81
"Ethiopia",2020,60,"VIC",4.69
"Unit Arab Emir",2020,50,"VIC",3.91
"Solomon Islands",2020,40,"VIC",3.12
"Syria",2020,40,"VIC",3.12
"India",2021,18320,"VIC",38.19
"China",2021,5490,"VIC",11.44
"Vietnam",2021,3410,"VIC",7.11
"Sri Lanka",2021,3370,"VIC",7.03
"Philippines",2021,3290,"VIC",6.86
"Afghanistan",2021,3260,"VIC",6.8
"Nepal",2021,2900,"VIC",6.05
"Thailand",2021,2740,"VIC",5.71
"Pakistan",2021,2720,"VIC",5.67
"Hong Kong",2021,2470,"VIC",5.15
"India",2022,36470,"VIC",33.13
"China",2022,19530,"VIC",17.74
"Philippines",2022,10830,"VIC",9.84
"Colombia",2022,7590,"VIC",6.9
"Vietnam",2022,7560,"VIC",6.87
"Sri Lanka",2022,7280,"VIC",6.61
"Thailand",2022,6070,"VIC",5.51
"Pakistan",2022,5340,"VIC",4.85
"New Zealand",2022,4870,"VIC",4.42
"UK, CIs & IOM",2022,4530,"VIC",4.12
"India",2023,27750,"VIC",30.52
"China",2023,15530,"VIC",17.08
"Philippines",2023,8750,"VIC",9.62
"Vietnam",2023,7910,"VIC",8.7
"Sri Lanka",2023,7490,"VIC",8.24
"New Zealand",2023,5960,"VIC",6.56
"UK, CIs & IOM",2023,4870,"VIC",5.36
"Pakistan",2023,4840,"VIC",5.32
"Afghanistan",2023,4490,"VIC",4.94
"Indonesia",2023,3330,"VIC",3.66
"UK, CIs & IOM",2004,5960,"WA",40.49
"New Zealand",2004,1750,"WA",11.89
"South Africa",2004,1630,"WA",11.07
"Malaysia",2004,980,"WA",6.66
"China",2004,960,"WA",6.52
"India",2004,830,"WA",5.64
"Sudan",2004,810,"WA",5.5
"Singapore",2004,720,"WA",4.89
"Zimbabwe",2004,580,"WA",3.94
"Philippines",2004,500,"WA",3.4
"UK, CIs & IOM",2005,7750,"WA",40.55
"South Africa",2005,2680,"WA",14.02
"New Zealand",2005,2250,"WA",11.77
"China",2005,1260,"WA",6.59
"Malaysia",2005,1150,"WA",6.02
"India",2005,1080,"WA",5.65
"Philippines",2005,1000,"WA",5.23
"Singapore",2005,700,"WA",3.66
"Zimbabwe",2005,670,"WA",3.51
"Korea, South",2005,570,"WA",2.98
"UK, CIs & IOM",2006,8890,"WA",38.85
"New Zealand",2006,2950,"WA",12.89
"South Africa",2006,2670,"WA",11.67
"Philippines",2006,1680,"WA",7.34
"India",2006,1680,"WA",7.34
"China",2006,1600,"WA",6.99
"Malaysia",2006,1400,"WA",6.12
"Zimbabwe",2006,830,"WA",3.63
"Singapore",2006,680,"WA",2.97
"Korea, South",2006,500,"WA",2.19
"UK, CIs & IOM",2007,8550,"WA",28.26
"New Zealand",2007,5100,"WA",16.86
"South Africa",2007,3490,"WA",11.54
"India",2007,3340,"WA",11.04
"Philippines",2007,2600,"WA",8.6
"China",2007,2350,"WA",7.77
"Malaysia",2007,2000,"WA",6.61
"Zimbabwe",2007,1270,"WA",4.2
"Ireland",2007,900,"WA",2.98
"Vietnam",2007,650,"WA",2.15
"UK, CIs & IOM",2008,7900,"WA",25.05
"India",2008,5220,"WA",16.55
"New Zealand",2008,4430,"WA",14.05
"South Africa",2008,4160,"WA",13.19
"Philippines",2008,2400,"WA",7.61
"China",2008,2260,"WA",7.17
"Malaysia",2008,1750,"WA",5.55
"Ireland",2008,1480,"WA",4.69
"Zimbabwe",2008,1040,"WA",3.3
"Mauritius",2008,900,"WA",2.85
"UK, CIs & IOM",2009,5120,"WA",25.88
"India",2009,2800,"WA",14.16
"New Zealand",2009,2740,"WA",13.85
"China",2009,2020,"WA",10.21
"South Africa",2009,1680,"WA",8.49
"Philippines",2009,1590,"WA",8.04
"Malaysia",2009,1450,"WA",7.33
"Ireland",2009,860,"WA",4.35
"Afghanistan",2009,770,"WA",3.89
"Singapore",2009,750,"WA",3.79
"UK, CIs & IOM",2010,7010,"WA",26.24
"New Zealand",2010,5780,"WA",21.64
"Ireland",2010,2790,"WA",10.45
"Philippines",2010,2430,"WA",9.1
"South Africa",2010,2100,"WA",7.86
"China",2010,1700,"WA",6.36
"India",2010,1570,"WA",5.88
"Malaysia",2010,1390,"WA",5.2
"Singapore",2010,990,"WA",3.71
"Taiwan",2010,950,"WA",3.56
"UK, CIs & IOM",2011,9800,"WA",24.98
"New Zealand",2011,9020,"WA",22.99
"Ireland",2011,5250,"WA",13.38
"Philippines",2011,3690,"WA",9.41
"India",2011,3000,"WA",7.65
"South Africa",2011,2530,"WA",6.45
"China",2011,1800,"WA",4.59
"Malaysia",2011,1660,"WA",4.23
"USA",2011,1260,"WA",3.21
"Taiwan",2011,1220,"WA",3.11
"UK, CIs & IOM",2012,7010,"WA",23.3
"New Zealand",2012,5770,"WA",19.18
"India",2012,3430,"WA",11.4
"Philippines",2012,3330,"WA",11.07
"Ireland",2012,2390,"WA",7.94
"China",2012,2110,"WA",7.01
"South Africa",2012,1960,"WA",6.51
"Taiwan",2012,1720,"WA",5.72
"Malaysia",2012,1580,"WA",5.25
"Italy",2012,790,"WA",2.63
"India",2013,3310,"WA",22.87
"UK, CIs & IOM",2013,2890,"WA",19.97
"Philippines",2013,2360,"WA",16.31
"China",2013,1740,"WA",12.02
"South Africa",2013,1120,"WA",7.74
"Vietnam",2013,650,"WA",4.49
"Pakistan",2013,650,"WA",4.49
"Italy",2013,630,"WA",4.35
"New Zealand",2013,570,"WA",3.94
"Sri Lanka",2013,550,"WA",3.8
"India",2014,3610,"WA",28.16
"Philippines",2014,2250,"WA",17.55
"China",2014,1780,"WA",13.88
"UK, CIs & IOM",2014,1350,"WA",10.53
"Malaysia",2014,950,"WA",7.41
"South Africa",2014,850,"WA",6.63
"Pakistan",2014,610,"WA",4.76
"Vietnam",2014,530,"WA",4.13
"Italy",2014,460,"WA",3.59
"Thailand",2014,430,"WA",3.35
"India",2015,4040,"WA",30.63
"Philippines",2015,2160,"WA",16.38
"China",2015,1650,"WA",12.51
"Malaysia",2015,1640,"WA",12.43
"South Africa",2015,760,"WA",5.76
"UK, CIs & IOM",2015,710,"WA",5.38
"Vietnam",2015,630,"WA",4.78
"Pakistan",2015,590,"WA",4.47
"Brazil",2015,530,"WA",4.02
"Thailand",2015,480,"WA",3.64
"India",2016,3740,"WA",30.66
"Philippines",2016,1870,"WA",15.33
"Malaysia",2016,1530,"WA",12.54
"China",2016,1520,"WA",12.46
"South Africa",2016,850,"WA",6.97
"Nepal",2016,590,"WA",4.84
"Vietnam",2016,550,"WA",4.51
"Thailand",2016,540,"WA",4.43
"Pakistan",2016,520,"WA",4.26
"Kenya",2016,490,"WA",4.02
"India",2017,3480,"WA",32.49
"Philippines",2017,1360,"WA",12.7
"China",2017,1170,"WA",10.92
"Malaysia",2017,1100,"WA",10.27
"South Africa",2017,780,"WA",7.28
"Bhutan",2017,760,"WA",7.1
"Pakistan",2017,620,"WA",5.79
"UK, CIs & IOM",2017,510,"WA",4.76
"Nepal",2017,510,"WA",4.76
"Vietnam",2017,420,"WA",3.92
"India",2018,5110,"WA",38.25
"Philippines",2018,1810,"WA",13.55
"South Africa",2018,1060,"WA",7.93
"Bhutan",2018,1030,"WA",7.71
"UK, CIs & IOM",2018,960,"WA",7.19
"China",2018,820,"WA",6.14
"Nepal",2018,780,"WA",5.84
"Pakistan",2018,670,"WA",5.01
"Indonesia",2018,580,"WA",4.34
"Sri Lanka",2018,540,"WA",4.04
"India",2019,4420,"WA",27.39
"UK, CIs & IOM",2019,2360,"WA",14.62
"Australia",2019,2050,"WA",12.7
"Philippines",2019,1800,"WA",11.15
"South Africa",2019,1180,"WA",7.31
"Indonesia",2019,1050,"WA",6.51
"Bhutan",2019,960,"WA",5.95
"China",2019,830,"WA",5.14
"Sri Lanka",2019,780,"WA",4.83
"Pakistan",2019,710,"WA",4.4
"South Africa",2020,360,"WA",22.78
"Australia",2020,350,"WA",22.15
"Vanuatu",2020,280,"WA",17.72
"Tonga",2020,200,"WA",12.66
"Afghanistan",2020,140,"WA",8.86
"Fiji",2020,80,"WA",5.06
"Zimbabwe",2020,50,"WA",3.16
"Lebanon",2020,40,"WA",2.53
"Unit Arab Emir",2020,40,"WA",2.53
"Myanmar",2020,40,"WA",2.53
"India",2021,2210,"WA",23.07
"Philippines",2021,2070,"WA",21.61
"South Africa",2021,1060,"WA",11.06
"New Zealand",2021,920,"WA",9.6
"UK, CIs & IOM",2021,630,"WA",6.58
"Bhutan",2021,600,"WA",6.26
"Nepal",2021,580,"WA",6.05
"Pakistan",2021,540,"WA",5.64
"Hong Kong",2021,500,"WA",5.22
"Vanuatu",2021,470,"WA",4.91
"Bhutan",2022,10100,"WA",23.28
"India",2022,8140,"WA",18.76
"Philippines",2022,6620,"WA",15.26
"UK, CIs & IOM",2022,4090,"WA",9.43
"New Zealand",2022,3270,"WA",7.54
"Pakistan",2022,2730,"WA",6.29
"China",2022,2530,"WA",5.83
"South Africa",2022,2210,"WA",5.09
"Ireland",2022,1990,"WA",4.59
"Nepal",2022,1710,"WA",3.94
"Bhutan",2023,7190,"WA",18.55
"India",2023,7050,"WA",18.19
"Philippines",2023,4800,"WA",12.38
"UK, CIs & IOM",2023,4750,"WA",12.25
"New Zealand",2023,3940,"WA",10.17
"China",2023,2580,"WA",6.66
"Pakistan",2023,2440,"WA",6.3
"South Africa",2023,2350,"WA",6.06
"Ireland",2023,2120,"WA",5.47
"Nepal",2023,1540,"WA",3.97
